Acetic acid,C2H4O2
Aluminium antimonide,AlSb
Aluminium arsenide,AlAs
Aluminium nitride,AlN
Aluminium oxide,Al2O3
Aluminium phosphide,AlP
Aluminium chloride,AlCl3
Aluminium fluoride,AlF3
Aluminium hydroxide,Al(OH)3
Aluminium nitrate,Al(NO3)3
Aluminium sulfate,Al2(SO4)3
Ammonia,NH3
Ammonium azide,NH4N3
Ammonium bicarbonate,NH4HCO3
Ammonium chromate,(NH4)2CrO4
Ammonium cerium(IV) nitrate,(NH4)2Ce(NO3)6
Ammonium chloride,NH4Cl
Ammonium chlorate,NH4ClO3
Ammonium cyanide,NH4CN
Ammonium dichromate,(NH4)2Cr2O7
Ammonium hydroxide,NH4OH
Ammonium hexachloroplatinate,(NH4)2(PtCl6)
Ammonium nitrate,NH4NO3
Ammonium sulfide,(NH4)2S4
Ammonium sulfite,(NH4)2SO3
Ammonium sulfate,(NH4)2SO4
Ammonium persulfate,(NH4)2S2O8
Ammonium perchlorate,NH4ClO4
Ammonium tetrathiocyanatodiamminechromate(III),NH4[Cr(SCN)4(NH3)2]
Antimony hydride,SbH3
Antimony pentachloride,SbCl5
Antimony pentafluoride,SbF5
Antimony trioxide,Sb2O3
Arsine,AsH3
Arsenic trioxide (Arsenic(III) oxide),As2O3
Arsenous acid,As(OH)3
Barium azide,Ba(N3)3
Barium chloride,BaCl2
Barium chromate,BaCrO4
Barium chlorate,BaClO3
Barium carbonate,BaCO3
Barium hydroxide,Ba(OH)2
Barium iodide,BaI2
Barium nitrate,Ba(NO3)2
Barium sulfate,BaSO4
Barium fluoride,BaF2
Barium ferrite,BaFe2O4
Barium ferrate,BaFeO4
Barium titanate,BaTiO3
Barium oxide,BaO
Barium peroxide,BaO2
Beryllium bromide,BeBr2
Beryllium carbonate,BeCO3
Beryllium chloride,BeCl2
Beryllium fluoride,BeF2
Beryllium hydride,BeH2
Beryllium hydroxide,Be(OH)2
Beryllium iodide,BeI2
Beryllium nitrate,Be(NO3)2
Beryllium nitride,Be3N2
Beryllium oxide,BeO
Beryllium sulfate,BeSO4
Beryllium sulfite,BeSO3
Beryllium borohydride,Be(BH4)2
Beryllium telluride,BeTe
Bismuth(III) oxide,Bi2O3
Bismuth(III) telluride,Bi2Te3
Borax,Na2B4O7Â·10H2O
Boric acid,H3BO3
Boron carbide,B4C
Boron nitride,BN
Boron oxide,B2O3
Boron suboxide,B6O
Boron trichloride,BCl3
Boron trifluoride,BF3
Bromine pentafluoride,BrF5
Bromine trifluoride,BrF3
Bromine monochloride,BrCl
Cacodylic acid,(CH3)2AsO2H
Cadmium arsenide,Cd3As2
Cadmium bromide,CdBr2
Cadmium chloride,CdCl2
Cadmium fluoride,CdF2
Cadmium iodide,CdI2
Cadmium nitrate,Cd(NO3)2
Cadmium selenide,CdSe
Cadmium sulfate,CdSO4
Cadmium telluride,CdTe
Caesium bicarbonate,CsHCO3
Caesium carbonate,Cs2CO3
Caesium chromate,Cs2CrO4
Caesium chloride,CsCl
Caesium fluoride,CsF
Caesium hydride,CsH
Calcium carbide,CaC2
Calcium chlorate,Ca(ClO3)2
Calcium chloride,CaCl2
Calcium chromate,CaCrO4
Calcium cyanamide,CaCN2
Calcium fluoride,CaF2
Calcium hydride,CaH2
Calcium hydroxide,Ca(OH)2
Calcium sulfate (Gypsum),CaSO4
Carbon dioxide,CO2
Carbon disulfide,CS2
Carbon monoxide,CO
Carbonic acid,H2CO3
Carbon tetrabromide,CBr4
Carbon tetrachloride,CCl4
Carbon tetraiodide,CI4
Carbonyl fluoride,COF2
Carbonyl sulfide,COS
Carboplatin,C6H12N2O4Pt
carborundum,SiC
Cerium(III) chloride,CeCl3
Cerium(III) bromide,CeBr3
Cerium(IV) sulfate,Ce(SO4)2
Cerium magnesium,CeMg
Cerium aluminium,CeAl
Cerium zinc,CeZn
Cerium silver,CeAg
Cerium cadmium,CeCd
Cerium mercury,CeHg
Cerium thallium,CeTl
Chloric acid,HClO3
Chlorine,Cl2
Chlorine monoxide,ClO
Chlorine dioxide,ClO2
Chlorine trioxide,ClO3
Dichlorine monoxide,Cl2O
Dichlorine dioxide,Cl2O2
Dichlorine trioxide,Cl2O3
Dichlorine tetroxide,also known as chlorine perchlorate,ClOClO3
Dichlorine hexoxide,Cl2O6
Dichlorine heptoxide,Cl2O7
Chlorine tetroxide, the peroxide,O3ClOOClO3
Chromic acid,CrO3
Chromium(III) chloride,CrCl3
Chromium(II) chloride,CrCl2
Chromium(III) oxide,Cr2O3
Chromium(IV) oxide,CrO2
Chromium(II) sulfate,CrSO4
Chromium trioxide (Chromic acid),CrO3
Chromyl chloride,CrO2Cl2
Cisplatin (cis-platinum(II) chloride diammine),PtCl2(NH3)2
Cobalt(II) bromide,CoBr2
Cobalt(II) chloride,CoCl2
Cobalt(II) carbonate,CoCO3
Cobalt(II) sulfate,CoSO4
Columbite,Fe2+Nb2O6
Copper(II) azide,Cu(N3)2
Copper(II) carbonate,CuCO3
Copper(I) chloride,CuCl
Copper(II) chloride,CuCl2
Copper(II) hydroxide,Cu(OH)2
Copper(II) nitrate,Cu(NO3)2
Copper(I) oxide,Cu2O
Copper(II) oxide,CuO
Copper(II) sulfate,CuSO4
Copper(I) sulfide,Cu2S
Copper(II) sulfide,CuS
Cyanogen,(CN)2
Cyanogen chloride,CNCl
Cyanuric chloride,C3Cl3N3
Cyanogen bromide,CNBr
Cyanogen iodide,ICN
Chrome-alum,K2SO4Cr2(SO4)3.24H2O
Decaborane (Diborane),B10H14
Diammonium phosphate,(NH4)2HPO4
Diborane,B2H6
Dichlorosilane,SiH2Cl2
Digallane,Ga2H6
Dinitrogen pentoxide (nitronium nitrate),N2O5
Dinitrogen tetroxide,N2O4
Disilane,Si2H6
Disulfur dichloride,S2Cl2
Dysprosium(III) chloride,DyCl3
Dysprosium oxide,Dy2O3
Dysprosium titanate,Dy2Ti2O7
Erbium(III) chloride,ErCl3
Europium(III) chloride,EuCl3
Erbium-copper,ErCu
Erbium-gold,ErAu
Erbium-silver,ErAg
Erbium-Iridium,ErIr
Gadolinium(III) chloride,GdCl3
Gadolinium(III) oxide,Gd2O3
Gallium antimonide,GaSb
Gallium arsenide,GaAs
Gallium trichloride,GaCl3
Gallium nitride,GaN
Gallium phosphide,GaP
Germane,GeH4
Digermane,Ge2H6
Germanium(II) fluoride,GeF2
Germanium(IV) fluoride,GeF4
Germanium(II) chloride,GeCl2
Germanium(IV) chloride,GeCl4
Germanium(II) bromide,GeBr2
Germanium(IV) bromide,GeBr4
Germanium(II) iodide,GeI2
Germanium(IV) iodide,GeI4
Germanium(II) oxide,GeO
Germanium(IV) oxide,GeO2
Germanium(II) sulfide,GeS
Germanium(IV) sulfide,GeS2
Germanium(II) selenide,GeSe
Germanium(IV) selenide,GeSe2
Germanium telluride,GeTe
Germanium(IV) nitride,Ge3N4
Gold(I) chloride,AuCl
Gold(III) chloride,AuCl3
Gold(I,III) chloride,Au4Cl8
Gold(III) chloride,(AuCl3)2
Gold(III) fluoride,AuF3
Gold(V) fluoride,AuF5
Gold(I) bromide,AuBr
Gold(III) bromide,(AuBr3)2
Gold(I) iodide,AuI
Gold(III) iodide,AuI3
Gold(I) hydride,AuH
Gold(III) oxide,Au2O3
Gold(I) sulfide,Au2S
Gold(III) sulfide,Au2S3
Gold(III) selenide,AuSe
Gold(III) selenide,Au2Se3
Gold ditelluride,AuTe2
Hafnium tetrafluoride,HfF4
Hafnium tetrachloride,HfCl4
Hexadecacarbonylhexarhodium,Rh6(CO)16
Hydrazine,N2H4
Hydrazoic acid,HN3
Hydrobromic acid,HBr
Hydrochloric acid,HCl
Hydroiodic acid,HI
Hydrogen bromide,HBr
Hydrogen chloride,HCl
Hydrogen fluoride,HF
Hydrogen peroxide,H2O2
Hydrogen selenide,H2Se
Hydrogen sulfide,H2S
Hydrogen telluride,H2Te
Hydroxylamine,NH2OH
Hypochlorous acid,HClO
Hypophosphorous acid,H3PO2
Indium antimonide,InSb
Indium arsenide,InAs
Indium(I) chloride,InCl
Indium nitride,InN
Indium phosphide,InP
Iodic acid,HIO3
Iodine heptafluoride,IF7
Iodine pentafluoride,IF5
Iodine monochloride,ICl
Iodine trichloride,ICl3
Iridium(IV) chloride,IrCl4
Iron(II) chloride,FeCl2
Iron(III) chloride,FeCl3
Iron Ferrocyanide,Fe7(CN)18
Iron(II) oxide,FeO
Iron(III) nitrate,Fe(NO3)3(H2O)9
Iron(II,III) oxide,Fe3O4
Iron(III) oxide,Fe2O3
Iron(III) thiocyanate,Fe(SCN)3
Krypton difluoride,KrF2
Lanthanum carbonate,La2(CO3)3
Lanthanum magnesium,LaMg
Lanthanum aluminium,LaAl
Lanthanum zinc,LaZn
Lanthanum silver,LaAg
Lanthanum cadmium,LaCd
Lanthanum mercury,LaHg
Lanthanum tallium,LaTl
Lead(II) carbonate,Pb(CO3)
Lead(II) chloride,PbCl2
Lead(II) iodide,PbI2
Lead(II) nitrate,Pb(NO3)2
Lead hydrogen arsenate,PbHAsO4
Lead(II) oxide,PbO
Lead(IV) oxide,PbO2
Lead(II) phosphate,Pb3(PO4)2
Lead(II) sulfate,Pb(SO4)
Lead(II) selenide,PbSe
Lead(II) sulfide,PbS
Lead(II) telluride,PbTe
Lithium aluminium hydride,LiAlH4
Lithium bromide,LiBr
Lithium borohydride,LiBH4
Lithium carbonate (Lithium salt),Li2CO3
Lithium chloride,LiCl
Lithium hypochlorite,LiClO
Lithium chlorate,LiClO3
Lithium perchlorate,LiClO4
Lithium cobalt oxide,LiCoO2
Lithium peroxide,Li2O2
Lithium hydride,LiH
Lithium hydroxide,LiOH
Lithium iodide,LiI
Lithium iron phosphate,FeLiO4P
Lithium nitrate,LiNO3
Lithium sulfide,Li2S
Lithium sulfite,HLiO3S
Lithium sulfate,Li2SO4
Lithium superoxide,LiO2
Magnesium antimonide,MgSb
Magnesium carbonate,MgCO3
Magnesium chloride,MgCl2
Magnesium oxide,MgO
Magnesium phosphate,Mg3(PO4)2
Magnesium sulfate,MgSO4
Manganese(IV) oxide (manganese dioxide),MnO2
Manganese(II) sulfate monohydrate,MnSO4.H2O
Manganese(II) chloride,MnCl2
Manganese(III) chloride,MnCl3
Manganese(IV) fluoride,MnF4
Manganese(II) phosphate,Mn3(PO4)2
Mercury(I) chloride,Hg2Cl2
Mercury(II) chloride,HgCl2
Mercury fulminate,Hg(ONC)2
Mercury(II) selenide,HgSe
Mercury(I) sulfate,Hg2SO4
Mercury(II) sulfate,HgSO4
Mercury(II) sulfide,HgS
Mercury(II) telluride,HgTe
Metaphosphoric acid,HPO3
Molybdenum trioxide,MoO3
Molybdenum disulfide,MoS2
Molybdenum hexacarbonyl,C6O6Mo
Molybdic acid,H2MoO4
Neodymium(III) chloride,NdCl3
Nessler's reagent,K2[HgI4]
Nickel(II) carbonate,NiCO3
Nickel(II) hydroxide,Ni(OH)2
Nickel(II) nitrate,Ni(NO3)2
Nickel(II) oxide,NiO
Niobium oxychloride,NbOCl3
Niobium pentachloride,NbCl5
Nitric acid,HNO3
Nitrogen monoxide,NO
Nitrogen dioxide,NO2
Nitrosylsulfuric acid,NOHSO4
Osmium tetroxide (osmium(VIII) oxide),OsO4
Osmium trioxide (osmium(VI) oxide),OsO3
Oxybis(tributyltin),C24H54OSn2
Oxygen difluoride,OF2
Ozone,O3
Palladium(II) chloride,PdCl2
Palladium(II) nitrate,Pd(NO3)2
Pentaborane,B5H9
Pentasulfide antimony,Sb2S5
Perchloric acid,HClO4
Perchloryl fluoride,ClFO3
Persulfuric acid (Caro's acid),H2SO5
Perxenic acid,H4XeO6
Phenylarsine oxide,(C6H5)AsO
Phenylphosphine,C6H7P
Phosgene,COCl2
Phosphine,PH3
Phosphite,HPO32-
Phosphomolybdic acid,H3PMo12O40
Phosphoric acid,H3PO4
Phosphorous acid (Phosphoric(III) acid),H3PO3
Phosphorus pentabromide,PBr5
Phosphorus pentafluoride,PF5
Phosphorus pentasulfide,P4S10
Phosphorus pentoxide,P2O5
Phosphorus sesquisulfide,P4S3
Phosphorus tribromide,PBr3
Phosphorus trichloride,PCl3
Phosphorus trifluoride,PF3
Phosphorus triiodide,PI3
Phosphotungstic acid,H3PW12O40
Platinum(II) chloride,PtCl2
Platinum(IV) chloride,PtCl4
Plutonium(III) chloride,PuCl3
Plutonium dioxide (Plutonium(IV) oxide),PuO2
Potassium aluminium fluoride,KAlF4
Potassium borate,K2B4O7â€¢4H2O
Potassium bromide,KBr
Potassium calcium chloride,KCaCl3
Potassium carbonate,K2CO3
Potassium chlorate,KClO3
Potassium chloride,KCl
Potassium cyanide,KCN
Potassium ferrioxalate,K3[Fe(C2O4)3]
Potassium hydrogencarbonate,KHCO3
Potassium hydrogen fluoride,HF2K
Potassium hydroxide,KOH
Potassium iodide,KI
Potassium iodidate,KIO3
Potassium monopersulfate,K2SO4Â·KHSO4Â·2KHSO5
Potassium nitrate,KNO3
Potassium perbromate,KBrO4
Potassium perchlorate,KClO4
Potassium permanganate,KMnO4
Potassium sulfate,K2SO4
Potassium sulfide,K2S
Potassium titanyl phosphate,KTiOPO4
Potassium vanadate,KVO3
Praseodymium(III) chloride,PrCl3
Protonated molecular hydrogen,H3+
Prussian blue (Iron(III) hexacyanoferrate(II)),Fe4[Fe(CN)6]3
Pyrosulfuric acid,H2S2O7
Radium chloride,RaCl2
Radon difluoride,RnF2
Rhodium(III) chloride,RhCl3
Rubidium bromide,RbBr
Rubidium chloride,RbCl
Rubidium fluoride,RbF
Rubidium hydroxide,RbOH
Rubidium iodide,RbI
Rubidium nitrate,RbNO3
Rubidium oxide,Rb2O
Rubidium telluride,Rb2Te
Ruthenium(VIII) oxide,RuO4
Samarium(II) iodide,SmI2
Samarium(III) chloride,SmCl3
Scandium(III) triflate,Sc(OSO2CF3)3
Scandium(III) chloride,ScCl3 and hydrate
Scandium(III) fluoride,ScF3
Scandium(III) nitrate,Sc(NO3)3
Scandium(III) oxide,Sc2O3
Selenic acid,H2SeO4
Selenious acid,H2SeO3
Selenium trioxide,SeO3
Selenium tetrafluoride,SeF4
Selenium hexafluoride,SeF6
Selenium hexasulfide,Se2S6
Selenium tetrachloride,SeCl4
Selenium dioxide,SeO2
Selenium disulfide,SeS2
Selenium oxydichloride,SeOCl2
Selenium oxybromide,SeOBr2
Selenoyl fluoride,SeO2F2
Samarium(III) chloride,SmCl3
Scandium(III) triflate,Sc(OSO2CF3)3
Scandium(III) chloride,ScCl3 and hydrate
Scandium(III) fluoride,ScF3
Scandium(III) nitrate,Sc(NO3)3
Scandium(III) oxide,Sc2O3
Silane,SiH4
Silica gel,SiO2Â·nH2O
Silicic acid,[SiOx(OH)4-2x]n
Silicon tetrabromide,SiBr4
Silicon carbide,SiC
Silicochloroform, Trichlorosilane,Cl3HSi
Silicofluoric acid,H2SiF6
Silicon dioxide,SiO2
Silicon tetrachloride,SiCl4
Silicon monoxide,SiO
Silicon nitride,Si3N4
Silver azide,AgN3
Silver bromate,AgBrO3
Silver bromide,AgBr
Silver chloride,AgCl
Silver chlorate,AgClO3
Silver chromate,Ag2CrO4
Silver(I) fluoride,AgF
Silver(II) fluoride,AgF2
Silver subfluoride,Ag2F
Silver fluoroborate,AgBF4
Silver fulminate,AgCNO
Silver hydroxide,AgOH
Silver iodide,AgI
Silver nitrate,AgNO3
Silver nitride,Ag3N
Silver oxide,Ag2O
Silver orthophosphate,Ag3PO4
Silver perchlorate,AgClO4
Silver sulfide,Ag2S
Silver sulfate,Ag2SO4
Sodamide,NaNH2
Sodium aluminate,NaAlO2
Sodium azide,NaN3
Sodium borohydride,NaBH4
Sodium bromide,NaBr
Sodium bromite,NaBrO2
Sodium bromate,NaBrO3
Sodium perbromate,NaBrO4
Sodium hypobromite,NaBrO
Sodium borate,Na2B4O7
Sodium perborate,NaBO3.nH2O
Sodium carbonate,Na2CO3
Sodium carbide,Na2C2
Sodium chloride,NaCl
Sodium chlorite,NaClO2
Sodium chlorate,NaClO3
Sodium perchlorate,NaClO4
Sodium cyanide,NaCN
Sodium cyanate,NaCNO
Sodium dioxide,NaO2
Sodium ferrocyanide,Na4Fe(CN)6
Sodium hydride,NaH
Sodium hydrogen carbonate (Sodium bicarbonate),NaHCO3
Sodium hydrosulfide,NaSH
Sodium hydroxide,NaOH
Sodium hypochlorite,NaOCl
Sodium iodide,NaI
Sodium iodate,NaIO3
Sodium periodate,NaIO4
Sodium hypoiodite,NaIO
Sodium monofluorophosphate (MFP),Na2PFO3
